id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2020-2206,2020-01-16,000001,Vente,6673,,,PRE CHARLES,B059,01630,01078,Challex,01,,,010780000A0151,,,,,,,,,,,,,0,,,,,T,terres,,,3718,5.981073,46.190553
2020-2207,2020-01-14,000002,Vente,50000,,,LA MASSOLIERE,B048,01360,01224,Loyettes,01,,,012240000B1692,,,,,,,,,,,,,0,,,,,S,sols,,,464,5.21027,45.776043
2020-2207,2020-01-14,000002,Vente,50000,,,LA MASSOLIERE,B048,01360,01224,Loyettes,01,,,012240000B1693,,,,,,,,,,,,,0,,,,,S,sols,,,40,5.210338,45.776236
2020-2208,2020-01-08,000001,Vente,515000,,,LES COMBES,B013,01630,01354,Saint-Genis-Pouilly,01,,,01354000AC0411,,,,,,,,,,,,,0,,,,,S,sols,,,32,6.038201,46.264646
2020-2208,2020-01-08,000001,Vente,515000,30,D,RUE DES CHEMINETS,0050,01630,01354,Saint-Genis-Pouilly,01,,,01354000AC0413,,,,,,,,,,,,,0,1,Maison,115,4,S,sols,,,492,6.038222,46.264542
2020-2208,2020-01-08,000001,Vente,515000,,,LES COMBES,B013,01630,01354,Saint-Genis-Pouilly,01,,,01354000AC0417,,,,,,,,,,,,,0,,,,,S,sols,,,5,6.038073,46.264537
2020-2209,2020-01-13,000001,Vente,14000,,,BELINAN,B006,01590,01148,Dortan,01,,,01148000ZI0075,,,,,,,,,,,,,0,,,,,T,terres,,,8560,5.633653,46.297118
2020-2209,2020-01-13,000001,Vente,14000,,,CAULASSIEU,B210,01100,01283,Oyonnax,01,,,01283055ZB0006,,,,,,,,,,,,,0,,,,,T,terres,,,29733,5.642891,46.298515
2020-2209,2020-01-13,000001,Vente,14000,,,CAULASSIEU,B210,01100,01283,Oyonnax,01,,,01283055ZB0006,,,,,,,,,,,,,0,,,,,T,terres,,,14867,5.642891,46.298515
2020-2210,2020-01-10,000001,Vente,254000,1,,RUE LATELLA,0150,01460,01265,Montréal-la-Cluse,01,,,01265000AE0235,,,,,,,,,,,,,0,1,Maison,101,4,S,sols,,,720,5.5838,46.17845
